Nombre de plan,S/D,UF-3,UF-5,UF-10,UF-15,UF-20,UF-25,UF-30
Auto Más Exclusividad De Tallercuota gratis,"UF4,31","UF3,04","UF2,75","UF2,39",--,--,--,--
Auto Máscuota gratis,"UF3,92","UF2,77","UF2,50","UF2,18",--,--,--,--
Móvil Clásicocuota gratis,"UF3,14","UF2,24","UF2,02","UF1,78",--,--,--,--
Estándar Anscuota gratis,"UF3,13","UF2,21","UF2,00","UF1,74",--,"UF1,31",--,"UF1,22"
Extramóvil Pluscuota gratis,"UF3,36","UF2,40","UF2,16","UF1,90",--,--,--,--
Auto Intermedio Consorcio,--,--,"UF1,94",--,--,--,--,--
Auto Total Consorcio,"UF3,24","UF2,50","UF2,27","UF1,99",--,"UF1,74",--,"UF1,67"
Móvil Clásico,"UF3,08","UF2,20","UF2,00","UF1,78",--,--,--,--
Extramóvil Plus,"UF3,31","UF2,38","UF2,12","UF1,87",--,--,--,--
Súper Fid,"UF2,67","UF1,90","UF1,78","UF1,58",--,--,--,--
Estándar Ans,"UF2,19","UF1,55","UF1,45","UF1,29",--,"UF1,06",--,--
Auto Pro Renta,"UF2,60","UF2,11","UF1,93","UF1,69",--,--,--,--
Renta Premium,"UF2,83","UF2,31","UF2,10","UF1,86",--,--,--,--
Chilena Full 2.0,"UF3,79","UF2,46","UF2,15","UF1,77","UF1,58","UF1,43","UF1,38","UF1,29"
